Date/Time,Word Count,en,vi,vi-VN,zh,zh-CN,zh-Hans-CN
2023.03.31-23.50.45,249,249,0,0,0,0,0
2023.04.01-00.13.12,252,252,0,0,0,0,0
2023.04.01-00.19.09,249,249,0,0,0,0,0
2023.04.01-00.46.03,135,135,0,0,0,0,0
2023.04.01-00.55.16,135,135,0,36,0,25,0
2023.04.01-01.20.54,137,137,0,35,0,25,0
2023.04.01-01.59.13,135,135,0,35,0,25,0
2023.04.01-02.08.24,136,136,0,35,0,25,0
2023.04.01-02.10.16,136,136,0,36,0,26,0
2023.04.01-13.24.28,136,136,0,0,0,0,0
2023.04.01-13.32.37,138,138,0,0,0,0,0
2023.04.01-13.39.38,136,136,0,0,0,0,0
2023.04.01-13.41.20,135,135,0,0,0,0,0
2023.04.01-13.49.11,135,135,134,0,0,0,0
2023.04.01-14.02.51,135,135,134,0,134,0,0
2023.04.01-19.14.51,140,140,133,0,133,0,0
2023.04.01-19.17.57,140,140,137,0,140,0,0
2023.04.01-23.59.38,140,140,137,0,140,0,0
