SpeakingVoice,TargetVoices,SpokenDialogue,VoiceActorDirection,AudioFileName,DialogueAsset,IsRecorded,LocalizationKeys,SpeakingVoiceGUID,TargetVoiceGUIDs,DialogueAssetGUID
Academy,"(""Duy"")",Incorrect,,0586DD0C4FB9CAFCC7D0D8B524670E14_364A12939CFA2E27.wav,/Game/Audio/Dialog/Incorrect_Dialog.Incorrect_Dialog,TRUE,"(""0586DD0C4FB9CAFCC7D0D8B524670E14_364A12939CFA2E27"")",E5057C45426928300B947CB378E1A40C,"(""0E35BABA43AAEE7E7A93F6831E262EEB"")",0586DD0C4FB9CAFCC7D0D8B524670E14
Circle_V,,hình tròn,,1EAE3A154D765192BE23DFB5F782BBD8_F22C1E8E00000000.wav,/Game/Audio/Dialog/Circle_Dialog.Circle_Dialog,TRUE,"(""1EAE3A154D765192BE23DFB5F782BBD8_F22C1E8E00000000"")",28FC85B2490BBB2884AF029DD9D9D2B1,,1EAE3A154D765192BE23DFB5F782BBD8
Duy,"(""English"")",Heelo,,E5C4B2434C3CF3EF21FDCCA15C82213A_9CFA2E27C784BCCB.wav,/Game/Audio/Dialog/Correct_Dialogue.Correct_Dialogue,TRUE,"(""E5C4B2434C3CF3EF21FDCCA15C82213A_9CFA2E27C784BCCB"")",0E35BABA43AAEE7E7A93F6831E262EEB,"(""DD7908D24FD136DDBCF2B68105765C71"")",E5C4B2434C3CF3EF21FDCCA15C82213A
Env,,Môi trường,,579E0A384640FD1EE74E90A6CA636322_EE42C84F00000000.wav,/Game/Audio/Dialog/Env_Dialog.Env_Dialog,TRUE,"(""579E0A384640FD1EE74E90A6CA636322_EE42C84F00000000"")",31E696FC40739EF547F8AF90DFB370B2,,579E0A384640FD1EE74E90A6CA636322
Heart,,trái tim,,2DF56ED741EA80C539F80DBC0AD44BE4_6B66BA3000000000.wav,/Game/Audio/Dialog/Heart_Dialog.Heart_Dialog,TRUE,"(""2DF56ED741EA80C539F80DBC0AD44BE4_6B66BA3000000000"")",31D2EC8B433CE72AC1047B98991DA686,,2DF56ED741EA80C539F80DBC0AD44BE4
Hex,,Hình lục giác,,73FA075A408828DFCAF865B11C48AEAB_74C8410200000000.wav,/Game/Audio/Dialog/Hex_Dialog.Hex_Dialog,TRUE,"(""73FA075A408828DFCAF865B11C48AEAB_74C8410200000000"")",0D26EEDF47B764F559902795D55E5E22,,73FA075A408828DFCAF865B11C48AEAB
Number,,loa số,,9745B3F647C02320CB40FD9890461DF5_AAE5A81600000000.wav,/Game/Audio/Dialog/Number_Dialog.Number_Dialog,TRUE,"(""9745B3F647C02320CB40FD9890461DF5_AAE5A81600000000"")",9D05F10D4B8D0081446C348F33B7E46F,,9745B3F647C02320CB40FD9890461DF5
Rectangle,,Hình chữ nhật,,46B2332747A9D210084DC1A15B591063_1764F95300000000.wav,/Game/Audio/Dialog/Rectangle_Dialog.Rectangle_Dialog,TRUE,"(""46B2332747A9D210084DC1A15B591063_1764F95300000000"")",9DB5A48845706CFE919D21BF0C4EA328,,46B2332747A9D210084DC1A15B591063
Shadow,,loa bóng,,C54D09F54B6A44D43ACD449E9E866529_212852B500000000.wav,/Game/Audio/Dialog/Shadow_Diaglog.Shadow_Diaglog,TRUE,"(""C54D09F54B6A44D43ACD449E9E866529_212852B500000000"")",99BF892C4007070051816A964D0D8A12,,C54D09F54B6A44D43ACD449E9E866529
Triangle,,Loa tam giác,,BD872C1F45871B38F4C36A9E750D6D59_6990BDE800000000.wav,/Game/Audio/Dialog/Triangle_Dialog.Triangle_Dialog,TRUE,"(""BD872C1F45871B38F4C36A9E750D6D59_6990BDE800000000"")",223F899842451894CB2F0A8B6F73B02B,,BD872C1F45871B38F4C36A9E750D6D59
